AFS.py,AFS.R,wv,AFS_rpy.py
0.937109803,0.935720788,4990.769886,0.935720788
0.933340782,0.932007455,4990.780959,0.932007455
0.937829863,0.936540118,4990.792031,0.936540118
0.937464137,0.936224527,4990.803102,0.936224527
0.937467836,0.936277512,4990.814172,0.936277512
0.964309876,0.963135827,4990.825242,0.963135827
0.965225545,0.964100442,4990.836312,0.964100442
0.940478305,0.93943049,4990.847381,0.93943049
0.970448839,0.969417271,4990.858449,0.969417271
0.965792871,0.964815311,4990.869516,0.964815311
0.976830934,0.975891481,4990.880583,0.975891481
0.974580272,0.973691814,4990.89165,0.973691814
0.994330786,0.993473797,4990.902716,0.993473797
0.970662505,0.969873876,4990.913781,0.969873876
0.99539171,0.99463183,4990.924845,0.99463183
0.982802625,0.982100248,4990.935909,0.982100248
0.981541511,0.980887537,4990.946973,0.980887537
0.981608357,0.981001508,4990.958035,0.981001508
0.988558224,0.987994255,4990.969097,0.987994255
0.980804798,0.980291737,4990.980159,0.980291737
0.979567652,0.979101338,4990.99122,0.979101338
0.987800924,0.987376854,4991.00228,0.987376854
0.989579252,0.989200344,4991.01334,0.989200344
0.982905678,0.982574623,4991.024399,0.982574623
0.99201599,0.991727262,4991.035457,0.991727262
0.996912451,0.996667602,4991.046515,0.996667602
0.992709312,0.992510291,4991.057572,0.992510291
1.002494076,1.002338015,4991.068629,1.002338015
0.9863107,0.986201045,4991.079685,0.986201045
1.004448904,1.004381611,4991.09074,1.004381611
1.000981825,1.000958681,4991.101795,1.000958681
1.007528397,1.007548992,4991.112849,1.007548992
1.002103729,1.002091407,4991.123902,1.002091407
1.003374055,1.003328802,4991.134955,1.003328802
0.99692303,0.996850123,4991.146007,0.996850123
0.98311544,0.983015903,4991.157059,0.983015903
0.983683196,0.98355587,4991.16811,0.98355587
0.960983833,0.960832276,4991.179161,0.960832276
0.966943912,0.966764005,4991.190211,0.966764005
0.951510532,0.951306451,4991.20126,0.951306451
0.919846884,0.91962338,4991.212308,0.91962338
0.876672592,0.876434526,4991.223357,0.876434526
0.84619152,0.845937489,4991.234404,0.845937489
0.79508421,0.794822684,4991.245451,0.794822684
0.737526511,0.73726268,4991.256497,0.73726268
0.701246755,0.700975659,4991.267543,0.700975659
0.674070588,0.673790493,4991.278587,0.673790493
0.651793916,0.651504169,4991.289632,0.651504169
